question,expected_report_id,source_chunk_excerpt,mode,template
"Em qual relatório é descrito: ""A caixa redutora do guindaste falhou em operação""?",10,"A caixa redutora do guindaste falhou em operação. Após a ocorrência da falha o conjunto foi desmontado, e um pino de fixação das engrenagens, duas engrenagens e o eixo principal do pinhão da mesa de g",heuristic,content.first_sentence
O que causou a falha no 8”-C4-1231-0101-B35 (KM8)-IQ?,4,"Foi encontrado caído na área operacional junto a canaleta, um suporte de tubulação fabricado por perfil “U”. O conjunto de suportação foi levado para a oficina e retirado um trecho de cada extremidade",heuristic,metadata.tag.causa
Qual a conclusão da análise de falha do 8”-C4-1231-0101-B35 (KM8)-IQ?,4,"Foi encontrado caído na área operacional junto a canaleta, um suporte de tubulação fabricado por perfil “U”. O conjunto de suportação foi levado para a oficina e retirado um trecho de cada extremidade",heuristic,metadata.tag.conclusao
Qual a análise de falha realizada para o cliente PETROBRÁS COMPARTILHADO na unidade BOAVENTURA?,4,"Foi encontrado caído na área operacional junto a canaleta, um suporte de tubulação fabricado por perfil “U”. O conjunto de suportação foi levado para a oficina e retirado um trecho de cada extremidade",heuristic,metadata.cliente_unidade
O que causou a falha no S-300003E?,18,As análises realizadas mostraram que o casco na região da amostra 1 (Com danos)  apresentou danos causados por superaquecimento em temperatura superior a 850°C por longo período. A exposição do equipa,heuristic,metadata.tag.causa
Quais foram os mecanismos de dano identificados na análise de S-300003E?,18,As análises realizadas mostraram que o casco na região da amostra 1 (Com danos)  apresentou danos causados por superaquecimento em temperatura superior a 850°C por longo período. A exposição do equipa,heuristic,metadata.analise_tag
Houve indícios de deformação na análise do equipamento Ciclone do Regenerador?,18,As análises realizadas mostraram que o casco na região da amostra 1 (Com danos)  apresentou danos causados por superaquecimento em temperatura superior a 850°C por longo período. A exposição do equipa,heuristic,content.dano
Qual a análise de falha realizada para o cliente PETROBRÁS COMPARTILHADO na unidade UN REGAP – Refinaria Gabriel Passos - MG?,21,A caldeira apresentou vazamento em operação. Após a parada do equipamento e acesso interno observou-se a ruptura do tubo 11 da fileira 2 do Superaquecedor. O trecho do tubo rompido foi removido e envi,heuristic,metadata.cliente_unidade
"Em qual relatório é descrito: ""A caldeira apresentou vazamento em operação""?",21,A caldeira apresentou vazamento em operação. Após a parada do equipamento e acesso interno observou-se a ruptura do tubo 11 da fileira 2 do Superaquecedor. O trecho do tubo rompido foi removido e envi,heuristic,content.first_sentence
Qual o tipo de equipamento analisado no relatório ISQ-AF-2030523-L-02281?,21,A caldeira apresentou vazamento em operação. Após a parada do equipamento e acesso interno observou-se a ruptura do tubo 11 da fileira 2 do Superaquecedor. O trecho do tubo rompido foi removido e envi,heuristic,metadata.equipamento
Qual a conclusão da análise de falha do S-300003E?,18,Durante a inspeção periódica foi observado região do casco do ciclone do primeiro estágio (E1) do regenerador com ruptura e deformação. Em função dos danos observados foram retiradas duas amostras ide,heuristic,metadata.tag.conclusao
Qual o tipo de equipamento analisado no relatório ISQ-AF-2030523-L-00232?,18,Durante a inspeção periódica foi observado região do casco do ciclone do primeiro estágio (E1) do regenerador com ruptura e deformação. Em função dos danos observados foram retiradas duas amostras ide,heuristic,metadata.equipamento
Quais foram os danos observados no equipamento S-300003E?,18,Durante a inspeção periódica foi observado região do casco do ciclone do primeiro estágio (E1) do regenerador com ruptura e deformação. Em função dos danos observados foram retiradas duas amostras ide,heuristic,metadata.tag.danos
"Em qual relatório é descrito: ""Os Moitões de içamento de carga foram enviados para a sede do ISQ Brasil em 02/07/2025 com o objetivo de realizar análises e ensaios para determinar a""?",8,Os Moitões de içamento de carga foram enviados para a sede do ISQ Brasil em 02/07/2025 com o objetivo de realizar análises e ensaios para determinar a presença de descontinuidades e defeitos de fundiç,heuristic,content.first_sentence
Qual a conclusão da análise de falha do MOITÕES DE ALUMINIO?,8,Os Moitões de içamento de carga foram enviados para a sede do ISQ Brasil em 02/07/2025 com o objetivo de realizar análises e ensaios para determinar a presença de descontinuidades e defeitos de fundiç,heuristic,metadata.tag.conclusao
Quais foram os mecanismos de dano identificados na análise de MOITÕES DE ALUMINIO?,8,Os Moitões de içamento de carga foram enviados para a sede do ISQ Brasil em 02/07/2025 com o objetivo de realizar análises e ensaios para determinar a presença de descontinuidades e defeitos de fundiç,heuristic,metadata.analise_tag
Qual a análise de falha realizada para o cliente PETROBRÁS COMPARTILHADO na unidade PETROBRÁS – BOAVENTURA?,3,A análise visual dos niples permitiu identificar fraturas transversais paralelas as soldas circunferenciais entre niples e tubos da serpentina do forno. As características das fraturas evidenciam a nu,heuristic,metadata.cliente_unidade
"Em qual relatório é descrito: ""A análise visual dos niples permitiu identificar fraturas transversais paralelas as soldas circunferenciais entre niples e tubos da serpentina do forn""?",3,A análise visual dos niples permitiu identificar fraturas transversais paralelas as soldas circunferenciais entre niples e tubos da serpentina do forno. As características das fraturas evidenciam a nu,heuristic,content.first_sentence
Houve indícios de corrosão na análise do equipamento FORNO?,3,A análise visual dos niples permitiu identificar fraturas transversais paralelas as soldas circunferenciais entre niples e tubos da serpentina do forno. As características das fraturas evidenciam a nu,heuristic,content.dano
Quais foram os danos observados no equipamento 0613-E-0003?,20,"A análise visual das amostras recebidas permitiu observar danos superficiais externos típicos de corrosão, ranhuras e trincas. A amostra de fratura enviada inicialmente mostrou-se bastante amassada e ",heuristic,metadata.tag.danos
O que causou a falha no 0613-E-0003?,20,"A análise visual das amostras recebidas permitiu observar danos superficiais externos típicos de corrosão, ranhuras e trincas. A amostra de fratura enviada inicialmente mostrou-se bastante amassada e ",heuristic,metadata.tag.causa
Quais foram os mecanismos de dano identificados na análise de 0613-E-0003?,20,"A análise visual das amostras recebidas permitiu observar danos superficiais externos típicos de corrosão, ranhuras e trincas. A amostra de fratura enviada inicialmente mostrou-se bastante amassada e ",heuristic,metadata.analise_tag
O que causou a falha no GD-526001/2?,9,"A análise visual das amostras recebidas permitiu verificar as seguintes características: - Pino de fixação das engrenagens (Amostra 1) com ruptura transversal, características que indicam iniciação em",heuristic,metadata.tag.causa
"Em qual relatório é descrito: ""A análise visual das amostras recebidas permitiu verificar as seguintes características: - Pino de fixação das engrenagens (Amostra 1) com ruptura tra""?",9,"A análise visual das amostras recebidas permitiu verificar as seguintes características: - Pino de fixação das engrenagens (Amostra 1) com ruptura transversal, características que indicam iniciação em",heuristic,content.first_sentence
Quais foram os danos observados no equipamento GD-526001/2?,9,"A análise visual das amostras recebidas permitiu verificar as seguintes características: - Pino de fixação das engrenagens (Amostra 1) com ruptura transversal, características que indicam iniciação em",heuristic,metadata.tag.danos
Houve indícios de corrosão na análise do equipamento ROLAMENTO DE MOTOR ELÉTRICO?,11,"A análise visual da amostra recebida permitiu observar danos na superfície interna da pista, pontos de incrustação nas superfícies laterais da capa externa, pista interna e gaiola. Após a realização d",heuristic,content.dano
Quais foram os mecanismos de dano identificados na análise de M-B-5124001C?,11,"A análise visual da amostra recebida permitiu observar danos na superfície interna da pista, pontos de incrustação nas superfícies laterais da capa externa, pista interna e gaiola. Após a realização d",heuristic,metadata.analise_tag
Qual a análise de falha realizada para o cliente PETROBRÁS COMPARTILHADO na unidade PETROBRÁS – UN-BS (BACIA DE SANTOS)?,11,"A análise visual da amostra recebida permitiu observar danos na superfície interna da pista, pontos de incrustação nas superfícies laterais da capa externa, pista interna e gaiola. Após a realização d",heuristic,metadata.cliente_unidade
Qual a conclusão da análise de falha do 15-2149?,1,"A inspeção visual realizada nos trechos de tubos recebidos para análises, permitiu observar danos superficiais externos típicos de alvéolos de corrosão, danos nas regiões adjacentes as chicanas e espe",heuristic,metadata.tag.conclusao
O que causou a falha no 15-2149?,1,"A inspeção visual realizada nos trechos de tubos recebidos para análises, permitiu observar danos superficiais externos típicos de alvéolos de corrosão, danos nas regiões adjacentes as chicanas e espe",heuristic,metadata.tag.causa
Qual o tipo de equipamento analisado no relatório ISQ-AF-2030523-L-01959?,1,"A inspeção visual realizada nos trechos de tubos recebidos para análises, permitiu observar danos superficiais externos típicos de alvéolos de corrosão, danos nas regiões adjacentes as chicanas e espe",heuristic,metadata.equipamento
O que causou a falha no 03?,106,"Os ensaios e análises realizadas, mostraram que o trecho de hélice apresenta propriedades químicas e mecânicas satisfatórias para o material ASTM A572 Gr.60. A microestrutura observada na análise, com",heuristic,metadata.tag.causa
"Em qual relatório é descrito: ""Os ensaios e análises realizadas, mostraram que o trecho de hélice apresenta propriedades químicas e mecânicas satisfatórias para o material ASTM A572""?",106,"Os ensaios e análises realizadas, mostraram que o trecho de hélice apresenta propriedades químicas e mecânicas satisfatórias para o material ASTM A572 Gr.60. A microestrutura observada na análise, com",heuristic,content.first_sentence
Qual a conclusão da análise de falha do 03?,106,"Os ensaios e análises realizadas, mostraram que o trecho de hélice apresenta propriedades químicas e mecânicas satisfatórias para o material ASTM A572 Gr.60. A microestrutura observada na análise, com",heuristic,metadata.tag.conclusao
Quais foram os danos observados no equipamento GD-526001/2?,10,"As análises realizadas indicam que o conjunto falhou em operação, devido à ruptura do Pino de fixação das engrenagens (Item 5) do redutor de S-600 (Item 100) por Fadiga Mecânica, associado a carregame",heuristic,metadata.tag.danos
O que causou a falha no GD-526001/2?,10,"As análises realizadas indicam que o conjunto falhou em operação, devido à ruptura do Pino de fixação das engrenagens (Item 5) do redutor de S-600 (Item 100) por Fadiga Mecânica, associado a carregame",heuristic,metadata.tag.causa
Quais foram os mecanismos de dano identificados na análise de GD-526001/2?,10,"As análises realizadas indicam que o conjunto falhou em operação, devido à ruptura do Pino de fixação das engrenagens (Item 5) do redutor de S-600 (Item 100) por Fadiga Mecânica, associado a carregame",heuristic,metadata.analise_tag
Quais foram os danos observados no equipamento B-5125001-C?,15,"A inspeção visual realizada na amostra do eixo enviado para análise, permitiu identificar fratura transversal em região com rasgo de chaveta, danos superficiais típicos de corrosão, ranhuras superfici",heuristic,metadata.tag.danos
Qual a conclusão da análise de falha do B-5125001-C?,15,"A inspeção visual realizada na amostra do eixo enviado para análise, permitiu identificar fratura transversal em região com rasgo de chaveta, danos superficiais típicos de corrosão, ranhuras superfici",heuristic,metadata.tag.conclusao
Houve indícios de corrosão na análise do equipamento Eixo de Bomba?,15,"A inspeção visual realizada na amostra do eixo enviado para análise, permitiu identificar fratura transversal em região com rasgo de chaveta, danos superficiais típicos de corrosão, ranhuras superfici",heuristic,content.dano
Qual o tipo de equipamento analisado no relatório ISQ-AF-2030523-L-00036?,6,"O tubo do evaporador falhou em operação devido a nucleação de danos internos por corrosão por oxigênio. O mecanismo provavelmente está associado ao procedimento de hibernação seca do equipamento, onde",heuristic,metadata.equipamento
"Em qual relatório é descrito: ""O tubo do evaporador falhou em operação devido a nucleação de danos internos por corrosão por oxigênio""?",6,"O tubo do evaporador falhou em operação devido a nucleação de danos internos por corrosão por oxigênio. O mecanismo provavelmente está associado ao procedimento de hibernação seca do equipamento, onde",heuristic,content.first_sentence
Houve indícios de corrosão na análise do equipamento Caldeira?,6,"O tubo do evaporador falhou em operação devido a nucleação de danos internos por corrosão por oxigênio. O mecanismo provavelmente está associado ao procedimento de hibernação seca do equipamento, onde",heuristic,content.dano
Qual o tipo de equipamento analisado no relatório ISQ-AF-2030523-L-03848?,5,A válvula do cilindro de oxigênio falhou em operação resultando em ruptura do corpo roscado. O trecho rompido do corpo roscado foi enviado para análise de falhas na sede do ISQ Brasil. Esse estudo tem,heuristic,metadata.equipamento
"Em qual relatório é descrito: ""A válvula do cilindro de oxigênio falhou em operação resultando em ruptura do corpo roscado""?",5,A válvula do cilindro de oxigênio falhou em operação resultando em ruptura do corpo roscado. O trecho rompido do corpo roscado foi enviado para análise de falhas na sede do ISQ Brasil. Esse estudo tem,heuristic,content.first_sentence
Houve indícios de ruptura na análise do equipamento Cilindro de Oxigênio?,5,A válvula do cilindro de oxigênio falhou em operação resultando em ruptura do corpo roscado. O trecho rompido do corpo roscado foi enviado para análise de falhas na sede do ISQ Brasil. Esse estudo tem,heuristic,content.dano
Quais foram os mecanismos de dano identificados na análise de S-300003E?,18,"A inspeção visual realizada na amostra 1 (Com danos) permitiu observar danos superficiais típicos de oxidação à quente que resultou na deterioração da chapa e colmeia de ancoragem do refratário, despr",heuristic,metadata.analise_tag
Qual a conclusão da análise de falha do S-300003E?,18,"A inspeção visual realizada na amostra 1 (Com danos) permitiu observar danos superficiais típicos de oxidação à quente que resultou na deterioração da chapa e colmeia de ancoragem do refratário, despr",heuristic,metadata.tag.conclusao
Houve indícios de deformação na análise do equipamento Ciclone do Regenerador?,18,"A inspeção visual realizada na amostra 1 (Com danos) permitiu observar danos superficiais típicos de oxidação à quente que resultou na deterioração da chapa e colmeia de ancoragem do refratário, despr",heuristic,content.dano
O que causou a falha no SG-1223001?,16,"Durante realização do ensaio por Ultrassom Phased Array das soldas do vaso SG-1223001 de P-75 em 11/12/2024, foram encontradas indicações de descontinuidades embebidas nas soldas típicas de trincas. E",heuristic,metadata.tag.causa
Houve indícios de trinca na análise do equipamento Vaso Separador?,16,"Durante realização do ensaio por Ultrassom Phased Array das soldas do vaso SG-1223001 de P-75 em 11/12/2024, foram encontradas indicações de descontinuidades embebidas nas soldas típicas de trincas. E",heuristic,content.dano
Qual a conclusão da análise de falha do SG-1223001?,16,"Durante realização do ensaio por Ultrassom Phased Array das soldas do vaso SG-1223001 de P-75 em 11/12/2024, foram encontradas indicações de descontinuidades embebidas nas soldas típicas de trincas. E",heuristic,metadata.tag.conclusao
O que causou a falha no P-UG-5262501?,14,"A inspeção visual realizada na amostra permitiu identificar danos superficiais externos nos tubos e nas aletas do radiador, tais como amassamentos, rupturas e afinamentos nas aletas típicos de corrosã",heuristic,metadata.tag.causa
Qual a conclusão da análise de falha do P-UG-5262501?,14,"A inspeção visual realizada na amostra permitiu identificar danos superficiais externos nos tubos e nas aletas do radiador, tais como amassamentos, rupturas e afinamentos nas aletas típicos de corrosã",heuristic,metadata.tag.conclusao
Qual a análise de falha realizada para o cliente PETROBRÁS COMPARTILHADO na unidade UN-BUZ P-74?,14,"A inspeção visual realizada na amostra permitiu identificar danos superficiais externos nos tubos e nas aletas do radiador, tais como amassamentos, rupturas e afinamentos nas aletas típicos de corrosã",heuristic,metadata.cliente_unidade
Houve indícios de trinca na análise do equipamento Vaso Separador?,17,"Durante realização do ensaio por Ultrassom Phased Array das soldas do vaso SG-1223001 de P-75 em 11/12/2024, foram encontradas indicações de descontinuidades embebidas nas soldas típicas de trincas. E",heuristic,content.dano
"Em qual relatório é descrito: ""Durante realização do ensaio por Ultrassom Phased Array das soldas do vaso SG-1223001 de P-75 em 11/12/2024, foram encontradas indicações de descontin""?",17,"Durante realização do ensaio por Ultrassom Phased Array das soldas do vaso SG-1223001 de P-75 em 11/12/2024, foram encontradas indicações de descontinuidades embebidas nas soldas típicas de trincas. E",heuristic,content.first_sentence
O que causou a falha no SG-1223001?,17,"Durante realização do ensaio por Ultrassom Phased Array das soldas do vaso SG-1223001 de P-75 em 11/12/2024, foram encontradas indicações de descontinuidades embebidas nas soldas típicas de trincas. E",heuristic,metadata.tag.causa
Qual a conclusão da análise de falha do 22HA – HP-EVAP?,6,"A análise visual do trecho de tubo aletado após seccionamento longitudinal, permitiu identificar as localizações dos danos superficiais internos e a região do furo passante na geratriz inferior do tub",heuristic,metadata.tag.conclusao
Quais foram os mecanismos de dano identificados na análise de 22HA – HP-EVAP?,6,"A análise visual do trecho de tubo aletado após seccionamento longitudinal, permitiu identificar as localizações dos danos superficiais internos e a região do furo passante na geratriz inferior do tub",heuristic,metadata.analise_tag
Qual o tipo de equipamento analisado no relatório ISQ-AF-2030523-L-00036?,6,"A análise visual do trecho de tubo aletado após seccionamento longitudinal, permitiu identificar as localizações dos danos superficiais internos e a região do furo passante na geratriz inferior do tub",heuristic,metadata.equipamento
Qual a análise de falha realizada para o cliente PETROBRÁS COMPARTILHADO na unidade PETROBRÁS – BOAVENTURA?,1,Durante o procedimento de retubagem do permutador de calor P-15-2149 foram observados que os tubos do feixe se apresentavam severamente corroídos. Foram retirados 11 trechos de tubos com comprimento e,heuristic,metadata.cliente_unidade
Qual a conclusão da análise de falha do 15-2149?,1,Durante o procedimento de retubagem do permutador de calor P-15-2149 foram observados que os tubos do feixe se apresentavam severamente corroídos. Foram retirados 11 trechos de tubos com comprimento e,heuristic,metadata.tag.conclusao
"Em qual relatório é descrito: ""Durante o procedimento de retubagem do permutador de calor P-15-2149 foram observados que os tubos do feixe se apresentavam severamente corroídos""?",1,Durante o procedimento de retubagem do permutador de calor P-15-2149 foram observados que os tubos do feixe se apresentavam severamente corroídos. Foram retirados 11 trechos de tubos com comprimento e,heuristic,content.first_sentence
Quais foram os danos observados no equipamento GAXETA?,126,A inspeção visual realizada na amostra recebida mostrou boas condições na amostra sem danos significativos. As análises e ensaios realizados na amostra da borracha mostraram resultados e característic,heuristic,metadata.tag.danos
Qual a análise de falha realizada para o cliente PETROBRÁS COMPARTILHADO na unidade UN-BS (BACIA DE SANTOS) – P-69?,126,A inspeção visual realizada na amostra recebida mostrou boas condições na amostra sem danos significativos. As análises e ensaios realizados na amostra da borracha mostraram resultados e característic,heuristic,metadata.cliente_unidade
Qual a conclusão da análise de falha do GAXETA?,126,A inspeção visual realizada na amostra recebida mostrou boas condições na amostra sem danos significativos. As análises e ensaios realizados na amostra da borracha mostraram resultados e característic,heuristic,metadata.tag.conclusao
Quais foram os danos observados no equipamento 18-2401?,3,Durante a inspeção do Forno 18-2401 foram identificadas fraturas transversais paralelas a solda circunferencial entre os niples e tubos da serpentina. As amostras foram retiradas para substituição e e,heuristic,metadata.tag.danos
Qual a análise de falha realizada para o cliente PETROBRÁS COMPARTILHADO na unidade PETROBRÁS – BOAVENTURA?,3,Durante a inspeção do Forno 18-2401 foram identificadas fraturas transversais paralelas a solda circunferencial entre os niples e tubos da serpentina. As amostras foram retiradas para substituição e e,heuristic,metadata.cliente_unidade
Houve indícios de trinca na análise do equipamento FORNO?,3,Durante a inspeção do Forno 18-2401 foram identificadas fraturas transversais paralelas a solda circunferencial entre os niples e tubos da serpentina. As amostras foram retiradas para substituição e e,heuristic,content.dano
Qual a conclusão da análise de falha do MOITÕES DE ALUMINIO?,8,"Os resultados obtidos nas análises indicam que os componentes de içamento de carga não apresentam as propriedades necessárias para a utilização em transportes de cargas, devido à alta probabilidade de",heuristic,metadata.tag.conclusao
